date,event_count,wildfire_count,storm_count
2024-01-01,1,0,1
2024-01-12,1,0,1
2024-01-15,1,0,1
2024-01-21,1,1,0
2024-01-23,1,0,1
2024-01-25,1,0,1
2024-01-31,1,0,1
2024-02-05,1,0,1
2024-02-07,1,0,1
2024-02-08,2,1,1
2024-02-14,1,1,0
2024-02-15,3,0,3
2024-02-19,1,0,1
2024-02-20,1,1,0
2024-02-24,6,6,0
2024-02-25,2,2,0
2024-02-26,12,12,0
2024-02-27,1,1,0
2024-02-28,6,6,0
2024-02-29,3,3,0
2024-03-01,3,3,0
2024-03-02,3,3,0
2024-03-03,2,2,0
2024-03-04,1,1,0
2024-03-05,2,2,0
2024-03-06,2,2,0
2024-03-10,2,1,1
2024-03-11,1,0,1
2024-03-12,2,2,0
2024-03-14,3,3,0
2024-03-15,2,1,1
2024-03-16,2,2,0
2024-03-17,1,1,0
2024-03-19,4,4,0
2024-03-20,4,4,0
2024-03-21,4,4,0
2024-03-22,3,3,0
2024-03-23,2,2,0
2024-03-26,1,0,1
2024-03-28,2,2,0
2024-03-29,3,3,0
2024-04-01,6,6,0
2024-04-04,1,1,0
2024-04-05,4,3,1
2024-04-06,2,2,0
2024-04-07,1,1,0
2024-04-08,1,1,0
2024-04-09,2,2,0
2024-04-10,10,9,1
2024-04-12,2,2,0
2024-04-15,1,1,0
2024-04-16,2,2,0
2024-04-17,1,1,0
2024-04-18,1,1,0
2024-04-19,2,2,0
2024-04-20,2,2,0
2024-04-22,1,1,0
2024-04-23,3,3,0
2024-04-24,1,1,0
2024-04-29,1,1,0
2024-05-01,8,7,1
2024-05-02,3,3,0
2024-05-03,8,8,0
2024-05-04,1,1,0
2024-05-05,7,7,0
2024-05-06,8,8,0
2024-05-07,5,5,0
2024-05-08,6,6,0
2024-05-09,6,6,0
2024-05-10,9,9,0
2024-05-11,5,5,0
2024-05-12,14,14,0
2024-05-13,19,19,0
2024-05-14,9,9,0
2024-05-15,19,19,0
2024-05-16,14,13,1
2024-05-17,15,15,0
2024-05-18,11,11,0
2024-05-19,14,13,1
2024-05-20,15,15,0
2024-05-21,23,23,0
2024-05-22,12,12,0
2024-05-23,12,12,0
2024-05-24,15,15,0
2024-05-25,15,13,2
2024-05-26,19,19,0
2024-05-27,24,24,0
2024-05-28,39,39,0
2024-05-29,28,28,0
2024-05-30,50,50,0
2024-05-31,44,44,0
2024-06-01,89,89,0
2024-06-02,81,81,0
2024-06-03,79,79,0
2024-06-04,82,82,0
2024-06-05,87,87,0
2024-06-06,94,94,0
2024-06-07,122,122,0
2024-06-08,82,82,0
2024-06-09,87,87,0
2024-06-10,104,104,0
2024-06-11,112,112,0
2024-06-12,33,33,0
2024-06-13,10,10,0
2024-06-14,4,4,0
2024-06-15,13,13,0
2024-06-16,11,11,0
2024-06-17,37,36,1
2024-06-18,23,23,0
2024-06-19,26,26,0
2024-06-20,17,17,0
2024-06-21,21,21,0
2024-06-22,19,19,0
2024-06-23,8,8,0
2024-06-24,37,37,0
2024-06-25,33,33,0
2024-06-26,31,31,0
2024-06-27,24,24,0
2024-06-28,13,13,0
2024-06-29,12,11,1
2024-06-30,19,19,0
2024-07-01,18,17,1
2024-07-02,10,10,0
2024-07-03,17,17,0
2024-07-04,14,13,1
2024-07-05,19,19,0
2024-07-06,14,14,0
2024-07-07,13,13,0
2024-07-08,9,9,0
2024-07-09,25,25,0
2024-07-10,10,10,0
2024-07-11,16,16,0
2024-07-12,19,19,0
2024-07-13,28,28,0
2024-07-14,26,26,0
2024-07-15,31,31,0
2024-07-16,26,26,0
2024-07-17,50,50,0
2024-07-18,47,47,0
2024-07-19,49,49,0
2024-07-20,29,27,2
2024-07-21,31,31,0
2024-07-22,52,52,0
2024-07-23,47,47,0
2024-07-24,56,56,0
2024-07-25,57,56,1
2024-07-26,64,64,0
2024-07-27,45,45,0
2024-07-28,51,51,0
2024-07-29,44,44,0
2024-07-30,55,55,0
2024-07-31,44,43,1
2024-08-01,48,48,0
